,region,category,parameter,mode,powertrain,year,unit,value
375,Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70
376,Italy,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1700
377,Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170
378,Italy,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2300
379,Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,390
380,Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2400
381,Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,570
382,Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2900
383,Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,860
384,Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8300
385,Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
386,Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
387,Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2200
388,Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20000
393,Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
394,Japan,Historical,EV charging points,EV,Publicly available fast,2011,charging points,800
395,Japan,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1400
396,Japan,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1800
397,Japan,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2900
398,Japan,Historical,EV charging points,EV,Publicly available slow,2014,charging points,8600
399,Japan,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6000
400,Japan,Historical,EV charging points,EV,Publicly available slow,2015,charging points,16000
401,Japan,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7100
402,Japan,Historical,EV charging points,EV,Publicly available slow,2016,charging points,17000
403,Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7300
404,Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
405,Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7700
406,Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
407,Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7900
408,Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23000
409,Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7900
410,Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,22000
411,Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8000
412,Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21000
417,Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920
418,Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100
419,Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300
420,Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000
421,Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200
422,Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
423,Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400
424,Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000
425,Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800
426,Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
427,Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000
428,Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
433,Mexico,Historical,EV charging points,EV,Publicly available slow,2015,charging points,83
434,Mexico,Historical,EV charging points,EV,Publicly available fast,2016,charging points,6
435,Mexico,Historical,EV charging points,EV,Publicly available slow,2016,charging points,240
436,Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,50
437,Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,700
438,Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,76
439,Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1100
440,Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,76
441,Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1100
442,Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,76
443,Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1100
444,Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,76
445,Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1100
450,Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400
451,Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400
452,Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21
453,Netherlands,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
454,Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21
455,Netherlands,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5800
456,Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
457,Netherlands,Historical,EV charging points,EV,Publicly available slow,2014,charging points,12000
458,Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220
459,Netherlands,Historical,EV charging points,EV,Publicly available slow,2015,charging points,18000
460,Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400
461,Netherlands,Historical,EV charging points,EV,Publicly available slow,2016,charging points,32000
462,Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,410
463,Netherlands,Historical,EV charging points,EV,Publicly available slow,2017,charging points,33000
464,Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,820
465,Netherlands,Historical,EV charging points,EV,Publicly available slow,2018,charging points,36000
466,Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1300
467,Netherlands,Historical,EV charging points,EV,Publicly available slow,2019,charging points,46000
468,Netherlands,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2100
469,Netherlands,Historical,EV charging points,EV,Publicly available slow,2020,charging points,63000
470,Netherlands,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
471,Netherlands,Historical,EV charging points,EV,Publicly available slow,2021,charging points,81000
476,New Zealand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,100
477,New Zealand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,200
478,New Zealand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,89
479,New Zealand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,260
480,New Zealand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
481,New Zealand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310
482,New Zealand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,150
483,New Zealand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,430
484,New Zealand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,170
489,Norway,Historical,EV charging points,EV,Publicly available slow,2010,charging points,2800
490,Norway,Historical,EV charging points,EV,Publicly available fast,2011,charging points,18
491,Norway,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3100
492,Norway,Historical,EV charging points,EV,Publicly available fast,2012,charging points,58
493,Norway,Historical,EV charging points,EV,Publicly available slow,2012,charging points,3700
494,Norway,Historical,EV charging points,EV,Publicly available fast,2013,charging points,96
495,Norway,Historical,EV charging points,EV,Publicly available slow,2013,charging points,4500
496,Norway,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
497,Norway,Historical,EV charging points,EV,Publicly available slow,2014,charging points,5200
498,Norway,Historical,EV charging points,EV,Publicly available fast,2015,charging points,330
499,Norway,Historical,EV charging points,EV,Publicly available slow,2015,charging points,5200
500,Norway,Historical,EV charging points,EV,Publicly available fast,2016,charging points,500
501,Norway,Historical,EV charging points,EV,Publicly available slow,2016,charging points,7000
502,Norway,Historical,EV charging points,EV,Publicly available fast,2017,charging points,920
503,Norway,Historical,EV charging points,EV,Publicly available slow,2017,charging points,8300
504,Norway,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1200
505,Norway,Historical,EV charging points,EV,Publicly available slow,2018,charging points,9300
506,Norway,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4000
507,Norway,Historical,EV charging points,EV,Publicly available slow,2019,charging points,10000
508,Norway,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5300
509,Norway,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
510,Norway,Historical,EV charging points,EV,Publicly available fast,2021,charging points,6700
511,Norway,Historical,EV charging points,EV,Publicly available slow,2021,charging points,13000
516,Poland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,4
517,Poland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,120
518,Poland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,8
519,Poland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,290
520,Poland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,32
521,Poland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,290
522,Poland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110
523,Poland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,410
524,Poland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,280
525,Poland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,490
526,Poland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,310
527,Poland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,530
528,Poland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,680
529,Poland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1000
530,Poland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
531,Poland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2300
536,Portugal,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6
537,Portugal,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1100
538,Portugal,Historical,EV charging points,EV,Publicly available fast,2012,charging points,7
539,Portugal,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1100
540,Portugal,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
541,Portugal,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
542,Portugal,Historical,EV charging points,EV,Publicly available fast,2014,charging points,17
543,Portugal,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1200
544,Portugal,Historical,EV charging points,EV,Publicly available fast,2015,charging points,22
545,Portugal,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1200
546,Portugal,Historical,EV charging points,EV,Publicly available fast,2016,charging points,41
547,Portugal,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1300
548,Portugal,Historical,EV charging points,EV,Publicly available fast,2017,charging points,150
549,Portugal,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
550,Portugal,Historical,EV charging points,EV,Publicly available fast,2018,charging points,180
551,Portugal,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1600
552,Portugal,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
553,Portugal,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1600
554,Portugal,Historical,EV charging points,EV,Publicly available fast,2020,charging points,650
555,Portugal,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2200
556,Portugal,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
557,Portugal,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2800
562,South Africa,Historical,EV charging points,EV,Publicly available fast,2017,charging points,37
563,South Africa,Historical,EV charging points,EV,Publicly available slow,2017,charging points,87
564,South Africa,Historical,EV charging points,EV,Publicly available fast,2018,charging points,81
565,South Africa,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160
566,South Africa,Historical,EV charging points,EV,Publicly available fast,2019,charging points,130
567,South Africa,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
568,South Africa,Historical,EV charging points,EV,Publicly available fast,2020,charging points,160
569,South Africa,Historical,EV charging points,EV,Publicly available slow,2020,charging points,140
570,South Africa,Historical,EV charging points,EV,Publicly available fast,2021,charging points,160
571,South Africa,Historical,EV charging points,EV,Publicly available slow,2021,charging points,140
576,Spain,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
577,Spain,Historical,EV charging points,EV,Publicly available fast,2013,charging points,91
578,Spain,Historical,EV charging points,EV,Publicly available slow,2013,charging points,800
579,Spain,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
580,Spain,Historical,EV charging points,EV,Publicly available slow,2014,charging points,800
581,Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240
582,Spain,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1400
583,Spain,Historical,EV charging points,EV,Publicly available fast,2016,charging points,230
584,Spain,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3300
585,Spain,Historical,EV charging points,EV,Publicly available fast,2017,charging points,600
586,Spain,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4300
587,Spain,Historical,EV charging points,EV,Publicly available fast,2018,charging points,620
588,Spain,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400
589,Spain,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1000
590,Spain,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500
591,Spain,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2100
592,Spain,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6000
593,Spain,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
594,Spain,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5600
599,Sweden,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5
600,Sweden,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1000
601,Sweden,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1100
602,Sweden,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1700
603,Sweden,Historical,EV charging points,EV,Publicly available fast,2017,charging points,790
604,Sweden,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3400
605,Sweden,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1000
606,Sweden,Historical,EV charging points,EV,Publicly available slow,2018,charging points,5500
607,Sweden,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1200
608,Sweden,Historical,EV charging points,EV,Publicly available slow,2019,charging points,7800
609,Sweden,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1400
610,Sweden,Historical,EV charging points,EV,Publicly available slow,2020,charging points,9800
611,Sweden,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1700
612,Sweden,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
617,Switzerland,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
618,Switzerland,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
619,Switzerland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,27
620,Switzerland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,600
621,Switzerland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,99
622,Switzerland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1300
623,Switzerland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,260
624,Switzerland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
625,Switzerland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,350
626,Switzerland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3500
627,Switzerland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,580
628,Switzerland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3500
629,Switzerland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,740
630,Switzerland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400
631,Switzerland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,920
632,Switzerland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,5400
633,Switzerland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1000
634,Switzerland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6700
635,Switzerland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1900
636,Switzerland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8200
641,Thailand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,8
642,Thailand,Historical,EV charging points,EV,Publicly available slow,2017,charging points,88
643,Thailand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
644,Thailand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,88
645,Thailand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,69
646,Thailand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,750
647,Thailand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,710
648,Thailand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200
649,Thailand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
650,Thailand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1500
655,Turkiye,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1
656,Turkiye,Historical,EV charging points,EV,Publicly available fast,2014,charging points,1
657,Turkiye,Historical,EV charging points,EV,Publicly available fast,2015,charging points,7
658,Turkiye,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7
659,Turkiye,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11
660,Turkiye,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7
661,Turkiye,Historical,EV charging points,EV,Publicly available slow,2017,charging points,69
662,Turkiye,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7
663,Turkiye,Historical,EV charging points,EV,Publicly available slow,2018,charging points,69
664,Turkiye,Historical,EV charging points,EV,Publicly available fast,2019,charging points,30
665,Turkiye,Historical,EV charging points,EV,Publicly available slow,2019,charging points,150
666,Turkiye,Historical,EV charging points,EV,Publicly available fast,2020,charging points,120
667,Turkiye,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200
668,Turkiye,Historical,EV charging points,EV,Publicly available fast,2021,charging points,180
669,Turkiye,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1800
674,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500
675,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2012,charging points,36
676,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
677,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2013,charging points,260
678,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5400
679,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2014,charging points,520
680,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2014,charging points,7200
681,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2015,charging points,1100
682,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2015,charging points,8200
683,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1800
684,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11000
685,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2200
686,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2017,charging points,13000
687,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2700
688,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2018,charging points,15000
689,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2800
690,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2019,charging points,14000
691,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3900
692,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2020,charging points,17000
693,United Kingdom,Historical,EV charging points,EV,Publicly available fast,2021,charging points,5200
694,United Kingdom,Historical,EV charging points,EV,Publicly available slow,2021,charging points,23000
699,USA,Historical,EV charging points,EV,Publicly available slow,2010,charging points,480
700,USA,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3900
701,USA,Historical,EV charging points,EV,Publicly available slow,2012,charging points,12000
702,USA,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000
703,USA,Historical,EV charging points,EV,Publicly available slow,2014,charging points,20000
704,USA,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3500
705,USA,Historical,EV charging points,EV,Publicly available slow,2015,charging points,28000
706,USA,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100
707,USA,Historical,EV charging points,EV,Publicly available slow,2016,charging points,35000
708,USA,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3400
709,USA,Historical,EV charging points,EV,Publicly available slow,2017,charging points,40000
710,USA,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4200
711,USA,Historical,EV charging points,EV,Publicly available slow,2018,charging points,50000
712,USA,Historical,EV charging points,EV,Publicly available fast,2019,charging points,13000
713,USA,Historical,EV charging points,EV,Publicly available slow,2019,charging points,64000
714,USA,Historical,EV charging points,EV,Publicly available fast,2020,charging points,17000
715,USA,Historical,EV charging points,EV,Publicly available slow,2020,charging points,82000
716,USA,Historical,EV charging points,EV,Publicly available fast,2021,charging points,22000
717,USA,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
722,World,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
723,World,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3700
724,World,Historical,EV charging points,EV,Publicly available slow,2011,charging points,10000
725,World,Historical,EV charging points,EV,Publicly available fast,2011,charging points,830
726,World,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1500
727,World,Historical,EV charging points,EV,Publicly available slow,2012,charging points,28000
728,World,Historical,EV charging points,EV,Publicly available slow,2013,charging points,41000
729,World,Historical,EV charging points,EV,Publicly available fast,2013,charging points,2600
730,World,Historical,EV charging points,EV,Publicly available fast,2014,charging points,13000
731,World,Historical,EV charging points,EV,Publicly available slow,2014,charging points,89000
732,World,Historical,EV charging points,EV,Publicly available slow,2015,charging points,150000
733,World,Historical,EV charging points,EV,Publicly available fast,2015,charging points,25000
734,World,Historical,EV charging points,EV,Publicly available fast,2016,charging points,72000
735,World,Historical,EV charging points,EV,Publicly available slow,2016,charging points,240000
736,World,Historical,EV charging points,EV,Publicly available slow,2017,charging points,310000
737,World,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110000
738,World,Historical,EV charging points,EV,Publicly available fast,2018,charging points,140000
739,World,Historical,EV charging points,EV,Publicly available slow,2018,charging points,390000
740,World,Historical,EV charging points,EV,Publicly available slow,2019,charging points,600000
741,World,Historical,EV charging points,EV,Publicly available fast,2019,charging points,260000
742,World,Historical,EV charging points,EV,Publicly available fast,2020,charging points,380000
743,World,Historical,EV charging points,EV,Publicly available slow,2020,charging points,870000
744,World,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200000
745,World,Historical,EV charging points,EV,Publicly available fast,2021,charging points,560000